RestaurantID,Brand,CuisineType,Address,City,State,PostalCode,Country,Latitude,Longitude,SourceFile
LOC-003155,Five Guys,Burgers,602 NEW LOUDON RD,Latham,NY,12110,US,42.72841371,-73.76069372,Datafiniti_2018
LOC-003156,KFC,Chicken,274 DELAWARE AVE,Albany,NY,12209,US,42.64306475,-73.77592486,Datafiniti_2018
LOC-003157,Subway,Sandwich,5729 LITTLEROCK RD SW,Olympia,WA,98512,US,46.99703,-122.91911,Datafiniti_2018
LOC-003158,KFC,Chicken,3104 CLEVELAND AVE NW,Canton,OH,44709,US,40.8331,-81.3879,Datafiniti_2018
LOC-003159,KFC,Chicken,8669 W 135TH ST,Overland Park,KS,66223,US,38.88357,-94.68602,Datafiniti_2018
LOC-003160,McDonald's,Burgers,2849 CLAYTON CROSSING WAY,Oviedo,FL,32765,US,28.6191,-81.2606,Datafiniti_2018
LOC-003161,Burger King,Burgers,2249 UPTON DR,Virginia Beach,VA,23454,US,36.75496832,-76.00808324,Datafiniti_2018
LOC-003162,McDonald's,Burgers,7300 BANCROFT AVENUE,Oakland,CA,94605,US,37.7682,-122.1742,Datafiniti_2018
LOC-003163,Sonic Drive-In,Burgers,3581 HOLLAND RD,Virginia Beach,VA,23452,US,36.81232,-76.09725,Datafiniti_2018
LOC-003164,McDonald's,Burgers,208 STANFORD SHOPPING CTR,Palo Alto,CA,94304,US,37.44265,-122.17035,Datafiniti_2018
LOC-003165,McDonald's,Burgers,777 STORY RD,San Jose,CA,95122,US,37.32886,-121.85951,Datafiniti_2018
LOC-003166,McDonald's,Burgers,8175 S JOHN YOUNG PKWY,Orlando,FL,32819,US,28.446821,-81.42684,Datafiniti_2018
LOC-003167,SONIC Drive-In,Burgers,5399 INTERNATIONAL DR,Orlando,FL,32819,US,28.46286,-81.45208,Datafiniti_2018
LOC-003168,Jack in the Box,Other Fast Food,110 TROSPER RD SW,Olympia,WA,98501,US,47.0,-122.9089,Datafiniti_2018
LOC-003169,Ben & Jerry's,Other Fast Food,3234 N JOHN YOUNG PKWY,Kissimmee,FL,34741,US,28.345865,-81.41976,Datafiniti_2018
LOC-003170,McDonald's,Burgers,2503 N JOHN YOUNG PKWY,Orlando,FL,32804,US,28.57632,-81.41618,Datafiniti_2018
LOC-003171,McDonald's,Burgers,5175 CONWAY RD,Orlando,FL,32812,US,28.4814,-81.33039,Datafiniti_2018
LOC-003172,Sonic Drive-In,Burgers,101 MAIN ST,Vista,CA,92084,US,33.201202,-117.24279,Datafiniti_2018
LOC-003173,Burger King,Burgers,534 US HWY 27,Clermont,FL,34714,US,28.35423651,-81.67595211,Datafiniti_2018
LOC-003174,Panera Bread,Coffee & Bakery,8120 W IRLO BRONSON MEMORIAL HWY,Kissimmee,FL,34747,US,28.34636,-81.61073,Datafiniti_2018
LOC-003175,Chipotle Mexican Grill,Mexican,575 GRAND AVE,San Marcos,CA,92078,US,33.13705,-117.17634,Datafiniti_2018
LOC-003176,Subway,Sandwich,912 S DIXIE HWY,Hoopeston,IL,60942,US,40.458569,-87.687249,Datafiniti_2018
LOC-003177,KFC,Chicken,5110 CAPITOL BLVD SE,Olympia,WA,98501,US,47.0021,-122.9093,Datafiniti_2018
LOC-003178,Taco Bell,Mexican,101 S SEMORAN BLVD,Winter Park,FL,32792,US,28.596731,-81.306453,Datafiniti_2018
LOC-003179,Jack in the Box,Other Fast Food,4402 MAPLE AVE,Dallas,TX,75219,US,32.810566,-96.821071,Datafiniti_2018
LOC-003180,Jack in the Box,Other Fast Food,5931 FOREST LN,Dallas,TX,75230,US,32.909886,-96.80487,Datafiniti_2018
LOC-003181,Jack in the Box,Other Fast Food,1301 N HAMPTON RD,Dallas,TX,75208,US,32.762352,-96.857104,Datafiniti_2018
LOC-003182,Jack in the Box,Other Fast Food,13555 PRESTON RD,Dallas,TX,75240,US,32.932475,-96.80402,Datafiniti_2018
LOC-003183,Jack in the Box,Other Fast Food,8227 PARK LN,Dallas,TX,75231,US,32.871869,-96.763515,Datafiniti_2018
LOC-003184,Jack in the Box,Other Fast Food,300 SW WILSHIRE BLVD,Burleson,TX,76028,US,32.541683,-97.330671,Datafiniti_2018
LOC-003185,Jack in the Box,Other Fast Food,2906 S TEXAS AVE,Bryan,TX,77802,US,30.644282,-96.354378,Datafiniti_2018
LOC-003186,Jack in the Box,Other Fast Food,321 FM 359 RD S,Brookshire,TX,77423,US,29.777608,-95.950863,Datafiniti_2018
